season,episode,clip,text,label,video_description
S06,E08,475,then why were you yelling at him when it happened?,Criticize,"The woman in the blue polo shirt is speaking, her mouth open mid-sentence. She gestures with her right hand, palm up, as if questioning or explaining. Her expression is serious and engaged. The woman in the background listens with a neutral, slightly skeptical expression."
S04,E04,220,"this same song keeps playing over and over again, and it's starting to drive me crazy.",Complain,"A man in a Superman shirt and a police officer are in a store aisle. The man, gesturing with his hands, speaks to the officer, who stands with her hands on her hips, listening. Their interaction appears to be a conversation, possibly a complaint, between the two."
S05,E16,571,"um, i'm gonna go make a call",Leave,"The woman in the blue blazer is animated, gesturing with her right hand as she speaks. Her facial expression is one of urgency or frustration. The woman in the blue polo shirt listens attentively, her body angled towards the speaker, indicating she is engaged in the conversation."
S04,E16,261,you have got to stop watching this.,Prevent,"A man in a blue vest sits on a desk, leaning forward with his hands clasped. He speaks with a concerned expression, his brow furrowed. A woman in a blue blazer sits at the desk, writing on paper. She looks up at him, listening intently as he talks."
S05,E08,7,"i am in the middle of something, dummy.",Criticize,"A man in a striped sweater speaks animatedly to a woman in a blue vest, gesturing with his hands. The woman listens with a neutral expression, holding a phone. Their interaction appears to be a conversation within a store setting."
S05,E13,25,the time difference with ghana is so tricky.,Complain,"The woman in the center, wearing a blue vest, is the main speaker. She is animated, using her hands to gesture as she talks. Her facial expression is engaged and earnest. The man to her right listens with a neutral expression, while the man to her left looks on with a more serious demeanor."
S05,E14,48,and my liver is on high alert.,Inform,"A woman in a colorful floral dress speaks animatedly to a man in a dark suit. Her hands gesture as she talks, her expression engaged. The man listens intently, his head turned towards her. Their interaction is a focused conversation in a busy restaurant."
S05,E11,120,you just need to go up to her and go,Advise,"A man in a blue vest sits at a desk, speaking directly to a woman standing before him. He gestures with his right hand while his facial expression is engaged and encouraging. The woman, seen from the back, listens attentively."
S04,E05,77,"i'm dr. sidian, i'm the attending on the floor.",Introduce,"A male doctor in a white coat over blue scrubs smiles warmly at a woman in a pink sweater. He gestures with his right hand as he speaks, conveying a friendly and reassuring demeanor."
S05,E11,266,"look, sandra, i think maybe she needs to hear it from you.",Advise,"A man in a wheelchair, wearing a blue vest, speaks to a woman in a blue polo shirt. He gestures with his hands as he talks, looking at her. The woman listens with a neutral expression, standing with her hands on her hips."
S05,E21,312,"yo, don't write that down.",Prevent,"A man in a yellow polo shirt leans on a counter, looking at a woman in a blue vest. He has a slight, knowing smile and raised eyebrows, suggesting he's making a playful or teasing remark. The woman, holding a pink pen, listens with a neutral expression, her body angled towards him."
S05,E09,259,and apologize to customers when these two can't hack it.,Arrange,"A woman in a blue polo shirt stands behind a counter, speaking animatedly. She gestures with her right hand, holding a piece of paper, while her left hand rests on the counter. Her facial expression is engaged and expressive, suggesting she is explaining something to someone off-camera."
S04,E10,171,but don't let it wear you out.,Inform,"A man in a light blue shirt stands behind a podium, addressing an audience. He gestures with his right hand while speaking, his expression focused and engaged."
S04,E08,92,"and on behalf of everyone in america, we welcome you.",Inform,"A man in a light blue shirt and patterned tie stands at the front of a room, holding a blue clipboard. He speaks directly to a group of seated employees wearing blue vests. His expression is serious and focused as he addresses them."
S05,E08,61,"this week, enjoy 20% off",Inform,"A man in a blue vest sits at a desk, holding a blue clipboard. He looks down at it, then up and to his right, speaking into a microphone. His expression is focused and engaged as he reads from the clipboard."
S05,E14,522,everything okay?,Care,"A man in a dark suit and light tie holds a woman's hand, looking at her with a gentle, smiling expression. The woman, in a colorful floral dress, is turned away from the camera. Their interaction is intimate and focused, suggesting a private conversation amidst the surrounding party."
S06,E09,6,"i'm sorry, guys.",Apologise,"A man and a woman stand before a seated audience, both holding blue clipboards. They are smiling and appear to be presenting or leading a meeting. The man is speaking, while the woman stands beside him, listening and looking at the audience."
S05,E15,454,i think ellen degeneres dances too much!,Complain,"The man in the light blue shirt is speaking animatedly, gesturing with both hands open and palms up. His facial expression is one of exasperation or disbelief as he talks to the bald man in the blue shirt, who is seen from behind."
S04,E13,262,"oh, listen, you--you do not have to worry about that, okay?",Comfort,"The main speaker, a man in a blue vest, is animatedly explaining something to his colleague. He uses open hand gestures and a reassuring facial expression, indicating he is trying to calm or inform the other person."
S04,E16,528,and i think it's pretty messed up,Complain,"A man in a blue vest, identified as ""JONAH,"" stands and speaks animatedly to a seated colleague. He gestures with his right hand, his expression earnest as he explains something. The seated man listens with his back to the camera."
S04,E04,397,"okay then, contest back on.",Inform,"A woman in a police costume stands, holding a drink and declaring, ""Contest back on."" Her expression is serious and authoritative. A man in a colorful shirt sits, looking up at her with a neutral, slightly bemused expression."
S05,E14,337,"jonah, what are you doing?",Care,"A woman in a colorful dress stands with her hands clasped, looking concerned. She then gestures with her right hand while speaking. In the background, guests are seated at a long table, listening to a speaker."
S05,E15,3,zephra has sent us a little break room upgrade,Inform,"A woman in a black blazer stands at a podium, speaking and gesturing with her right hand. She holds a blue folder with a white cloud logo. A man in a blue vest stands behind a red-draped object, listening with his hands clasped."
S05,E14,380,but you're going to be fine.,Comfort,"A man in a dark suit and patterned blue tie stands, leaning slightly forward with a gentle, reassuring smile. He appears to be speaking to a seated man in a pink tie, whose head is bowed. The standing man's posture and expression convey comfort and support in a social setting."
S05,E13,388,who cares? who cares? don't worry about it.,Comfort,"The man on the left, wearing a dark jacket, speaks animatedly with open palms and expressive hand gestures. He leans forward, indicating engagement. The bald man on the right listens intently, leaning in slightly with his hands clasped, showing focused attention on the conversation."
S05,E15,455,it's unprofessional!,Complain,"A man in a light blue shirt stands facing another man, his body language tense and agitated. He gestures emphatically with his hands while speaking, his facial expression conveying frustration and anger. The other man, seen from behind, remains still, creating a dynamic of one-sided confrontation."
S05,E12,181,and i just wanted to tell you that dina... passed away.,Inform,"The seated woman, with a somber expression, delivers the news of Dina's passing. The standing woman, Celia, listens with a serious, concerned look, her hands on her hips. Their body language suggests a moment of shared gravity and sadness."
S05,E17,391,"oh, that is awesome.",Praise,"A woman in a black blazer smiles warmly, listening to a colleague in a green shirt. Her arms are crossed, and her expression is friendly and engaged, indicating a positive and attentive interaction."
S05,E13,89,"um, it's the display for the new zephra products.",Introduce,"The two women in blue shirts stand facing each other. The woman on the right, the main speaker, gestures with her right hand while talking. Her expression is engaged and focused on her colleague. The woman on the left listens attentively, her body angled towards the speaker."
S04,E01,480,"all right, guys, well, this is your last chance",Inform,"A pregnant woman, Emily, stands and speaks with a serious expression, gesturing with her right hand. Seated beside her, Jonah looks down with a concerned and somber expression, his hands clasped."
S05,E08,520,"well, technically, you can suck it!",Criticize,"The man in the striped shirt is the main speaker, shouting with his mouth wide open and eyes wide, conveying anger or frustration. The woman to his right has a stern, disapproving expression. The man behind them looks on with a neutral expression."
S04,E16,52,happy easter.,Inform,"The man, wearing a blue vest, sits behind a desk with a pink basket. He holds a small item, looks up, and speaks with a friendly, welcoming expression. His body is angled slightly, suggesting he is addressing someone off-camera."
S05,E15,197,why is everybody being so cynical about this?,Complain,"A woman in a black blazer and colorful blouse speaks animatedly to a man in a blue vest. She gestures with her hands, her expression shifting from a smile to a more serious, questioning look as she talks."
S05,E10,458,"oh, that does sound nice.",Praise,"A woman in a light blue lab coat, wearing glasses, holds a white pillow. She looks down at it with a neutral expression. A man in a dark green shirt sits beside her, looking at the pillow with a slight smile. The interaction is calm and focused on the object."
S05,E15,289,that's embarrassing.,Complain,"A man in a wheelchair, wearing a blue vest, looks up with a surprised and slightly bewildered expression. He is facing a man in a light blue shirt whose back is to the camera. The man in the wheelchair's expression suggests he is reacting to something the other man has said or done."
S05,E16,525,you would know if you didn't make me skip to the end of the story!,Criticize,"The woman on the right, Cheyenne, is animatedly speaking and gesturing with both hands. Her facial expression is one of exasperation or disbelief. The woman on the left, Justine, listens with a skeptical and unimpressed expression, holding her phone."
S05,E12,217,"it's best to just pretend you've passed out, okay?",Advise,"A female store employee in a blue polo shirt is speaking to an older male customer. She gestures with both hands open, palms up, in a placating or explanatory manner. Her expression is serious and focused as she talks to him."
S04,E08,137,"okay, here are your lanyards and your room keys.",Inform,"A man in a grey suit hands lanyards and room keys to a woman in a maroon dress and a man in a dark suit. The woman smiles and accepts the items, while the man beside her looks on with a neutral expression."
S06,E01,246,the ink's starting to turn our butts weird colors.,Complain,"A woman in a blue vest with a name tag reading ""Cherienne"" speaks with a concerned and slightly exasperated expression. She gestures with her hands as she talks to a woman in a blue shirt, who listens with a serious, attentive look."
S05,E18,83,"mm-hmm, and his proportions are a dream.",Praise,"A woman in a blue polo shirt stands and speaks, her expression animated. She holds a pen and wears a lanyard with a name tag. She is engaged in a conversation with two people seated at a table, one of whom is partially visible."
S05,E15,453,i think i voted wrong!,Complain,"The man in the wheelchair, wearing a blue vest, listens with a neutral expression. The standing man, in a light shirt, gestures animatedly with his hands and appears distressed, running his hands through his hair as he speaks."
S06,E04,486,so i say turn every golf course into a solar farm.,Advise,"The man in the foreground is animated, using expansive hand gestures and an expressive face as he speaks. He appears passionate and engaged in the conversation. The person on the laptop screen listens attentively, maintaining a calm and focused demeanor."
S04,E03,13,sorry for accidentally texting you that nude.,Apologise,"A woman in a blue uniform stands beside a silver car, smiling and gesturing with her right hand. She appears to be speaking to the driver, her expression friendly and engaging. Her body language is open and welcoming, suggesting a positive interaction."
S05,E17,526,"our people are struggling, amy.",Complain,"A man in a green ""Nephro Care"" shirt speaks with a concerned and earnest expression. He gestures with his hands as he talks to a woman whose back is to the camera. His body language suggests he is passionately explaining something important to her."
S05,E07,384,"i'm just a dumb, useless butt.",Complain,"A male employee in a blue vest, identified as Dave, stands behind a counter. He gestures with his right hand towards a shelf while speaking to a woman with long dark hair, whose back is to the camera. His expression is focused and engaged in the conversation."
S05,E11,378,why don't we set some ground rules,Advise,"A man in a blue vest gestures expansively with both hands, palms up, as he speaks to a woman in a black blazer. The woman listens intently, holding a clipboard. Their interaction appears to be a formal discussion or presentation, with the man taking the lead in explaining a point."
S05,E08,32,"yeah, i think so.",Agree,"A woman in a blue shirt speaks animatedly, gesturing with her right hand. She appears to be explaining something to a man in a blue vest. The man listens attentively, his expression neutral and his posture relaxed, suggesting a calm, conversational dynamic."
S05,E08,122,"excuse me, where do you keep your transformers?",Ask for help,"A man in a striped sweater stands at a yellow table, asking a store employee where to find Transformers. He is smiling and appears friendly. The employee, a woman in a blue blazer, listens and smiles back. The interaction is casual and polite."
S06,E04,64,you're taking a trip to bruise town.,Arrange,"The central woman, holding a clipboard, speaks authoritatively while gesturing with her right hand. Her expression is serious and commanding. The other employees, also in blue vests, listen attentively as they walk together down the store aisle."
S05,E11,3,zephra is just our new parent company.,Inform,"The woman in the floral blouse is the main speaker, gesturing with her right hand as she talks. Her expression is engaged and explanatory. The woman in the blue polo shirt listens attentively, her expression neutral and focused on the speaker."
S05,E13,79,"okay, no, no. mateo, no.",Prevent,"A woman sits at her desk, looking up with a concerned and slightly exasperated expression as a man in a lab coat walks past her. She raises her hand in a placating gesture, her facial expression conveying a mix of disbelief and gentle warning."
S04,E07,368,see? this is easy for me.,Flaunt,"The main speaker, a man in a blue vest, smiles confidently at the camera. He rests his hands on the table, then briefly clasps them together before resting them again. His relaxed posture and direct gaze suggest he is comfortable and in control of the situation."
S05,E08,148,"yep, they gotta go.",Leave,A woman in a blue vest walks past a table with a teddy bear and presents. She has a serious expression. Two men stand behind the table. The man in the striped sweater looks forward with a neutral expression. The man in the blue vest has his hands clasped and looks slightly to his left with a concerned expression.
S05,E10,73,you doing okay with all this?,Care,"A woman in a black blazer holds a phone, looking up with a concerned expression as she asks, ""You doing okay with all this?"" She stands facing a woman in a blue polo shirt, who has her hands on her hips and looks back with a neutral expression."
S05,E15,74,he's a scam artist.,Inform,"A woman in a blue ""Cloud9"" polo leans forward, smiling and speaking to a bald man in a vest. Her expression is friendly and engaged. A man in a grey jacket stands behind them, looking down at a paper with a serious, focused expression."
S05,E13,480,this whole interview process was a fake.,Complain,"A man in a 'Clouds' uniform sits across a desk from a woman. He gestures with his right hand, palm up, as he speaks, his expression earnest. The woman listens, her expression neutral. The interaction appears to be a formal conversation, possibly an interview."
S04,E02,302,"all right, well, i'll see y'all later.",Leave,"A man in a blue vest sits, smiling and laughing. He then looks up and to his right, his expression shifting to a warm, friendly smile as he speaks."
S05,E12,294,i just hope that you don't go around,Advise,"A woman in a blue blazer speaks animatedly, gesturing with her left hand while holding a clipboard. She looks at a man in a blue vest who stands with his hands in his pockets, listening with a neutral expression."
S05,E15,132,fine!,Agree,"The man in the blue vest, wearing glasses, sits behind a desk and speaks with a slight smile. He gestures with both hands, palms up, as if explaining or justifying something. His expression is calm and conversational, suggesting a friendly interaction with the person in front of him."
S05,E07,426,for a very special parade.,Inform,"A woman in a blue uniform speaks on her phone, gesturing with her free hand. She stands next to a man in a dark sweater and glasses, who listens with his hands clasped. Their interaction is professional and focused, with the woman appearing to give instructions."
S04,E04,53,my feet are so swollen i can barely stand.,Complain,"A woman in a wheelchair, wearing a blue vest, speaks with a concerned expression. She gestures with her hands on her stomach. To her left, a man in a Superman shirt listens with a neutral expression, his hands clasped."
S05,E09,252,i haven't even been able to go on instagram.,Complain,"A young woman with pigtails, wearing a blue vest, speaks animatedly with a concerned expression. She gestures with her hands while holding a phone. A man in a matching vest stands beside her, looking down at his phone and a paper, appearing focused and slightly distracted from her conversation."
S05,E13,166,"i just found out that, um, i got a work permit.",Inform,"A man in a cardigan stands behind a store counter, speaking with a surprised and slightly flustered expression. He looks at a woman in a black blazer who is listening intently, holding a pen over a clipboard. Their interaction appears to be a serious conversation about a work-related issue."
S04,E07,429,you are grossly incompetent and unpleasant to be around,Criticize,"The man in the white shirt, seated behind a desk, speaks with a stern and judgmental expression. He leans forward slightly, his hands resting on the desk, conveying authority and disapproval. The younger man across from him sits with his hands clasped, listening intently with a neutral, attentive posture."
S06,E05,12,"effective immediately, cloud 9 will no longer keep black haircare products in locked cases.",Inform,"A woman in a blue blazer stands in a pharmacy aisle, holding a blue clipboard. She speaks animatedly, gesturing with her free hand and looking up and to her right. Her expression is earnest and engaged as she addresses someone off-camera."
S06,E03,613,and i do have an update on the breadsticks.,Inform,"A woman in a blue vest, seated on a counter, speaks while gesturing with her hands. She wears a mask pulled below her chin. Standing beside her, a man in a maroon sweater and blue vest listens, his hands clasped. Other masked employees stand in the background, observing the interaction."
S06,E09,354,but you haven't because you're afraid,Taunt,"A man in a 'Cloud9' vest gestures with open palms, looking earnest. A woman in a matching vest listens, then points her finger forward with a serious expression, seemingly making a direct point to him."
S05,E16,248,i'm so fricking cold.,Complain,"A young woman in a blue vest sits on a pallet, her face contorted in discomfort as she complains, ""I'm so freaking cold."" A man beside her, also in a vest, looks at her with a concerned and slightly pained expression."
S06,E03,597,did you get hurt before?,Care,"The young man with long, dark curly hair, wearing a salmon-colored hoodie, is the main speaker. He is actively engaged in conversation, leaning forward slightly with an earnest expression. His mouth is open as he speaks, and his eyes are focused on the person he is addressing."
S05,E12,128,this is a pyramid scheme.,Complain,"The man in the light blue coat is speaking animatedly, gesturing with his right hand while holding a coffee cup in his left. His facial expression is one of earnest explanation or persuasion as he talks to the woman standing across the counter."
S05,E12,452,"hey, dina, your dad's looking for you.",Inform,"A woman in a blue polo shirt sits at a desk, looking intently at a computer monitor. Her expression is serious and focused. Another woman in a similar uniform walks past her in the background, seemingly unaware of the seated woman's intense concentration."
S06,E08,486,do you want us to give you a trophy?,Taunt,"The woman in the blue shirt, seen from the back, is speaking. Her posture is engaged, leaning slightly forward. The woman in the rainbow jacket listens intently, her brow furrowed and lips parted in a concerned expression, indicating she is processing the information being shared."
S06,E06,44,"anyway, dina, don't worry about it.",Comfort,"The main speaker, a smiling security guard, gestures with his right hand while speaking. He stands next to a colleague in a dark uniform who holds a coffee mug and listens with a neutral expression."
S04,E06,460,i am wearing frozen diapers,Complain,"A woman in a blue vest, visibly distressed, speaks to a man in a light blue shirt. Her expression is one of panic and confusion as she gestures with her hands. The man stands with his back mostly to the camera, listening."
S05,E09,290,"hey, sweetie. hey, garrett.",Greet,"A woman in a blue shirt smiles warmly while pushing a shopping cart. She turns to greet a man in a brown jacket, who is also smiling and laughing. The man in the wheelchair, wearing a matching blue vest, looks on with a pleasant expression. The interaction is friendly and cheerful."
S05,E08,229,you stole my mark?,Criticize,"A man in a vest stands near a flower stand, looking surprised and gesturing with his hand. A woman in a blue jacket walks past him, holding a paper, seemingly uninvolved in his apparent outburst."
S05,E21,110,"oh, i don't think it's that.",Oppose,"The standing woman holds a folder, her expression serious and questioning. The seated woman, in a teal blazer, smiles and shakes her head slightly, appearing to gently disagree with the standing woman's assessment."
S05,E08,239,"molly, hand these out, please.",Arrange,"A woman in a blue blazer walks purposefully toward two employees in blue vests. She holds a stack of papers and hands them over, her expression focused and professional. The employees receive the papers, maintaining a neutral, attentive posture as they interact."
S06,E02,250,"okay, cool, 'cause you seemed uncomfortable",Care,"A man in a blue vest stands with hands clasped, looking downcast and uncomfortable. A woman in a blue blazer gestures with her hands as she speaks to him, her expression appearing to be one of explanation or reassurance."
S05,E17,574,you should go find justine.,Advise,"A woman with curly red hair in a tan trench coat speaks to two younger women. She holds a small object, gesturing with it as she talks. The woman in the green t-shirt smiles and gestures back, while the other woman listens. Their interaction appears friendly and engaged."
S04,E03,164,"on behalf of store 1217, it is my privilege",Flaunt,"A man in a light blue shirt and a cloud-patterned tie stands behind a counter, speaking to a woman in a blue shirt. He has a name tag that reads ""Glenn."" His expression is friendly and engaging as he talks, while the woman listens with her back to the camera."
S04,E09,139,"god, you're a fast learner.",Praise,"A man in a light blue shirt and cloud-patterned tie sits at a desk, smiling warmly at a woman standing before him. He holds a yellow folder, his expression friendly and engaged. The woman, wearing a blue vest, stands attentively, listening to him."
S05,E18,298,your faces look like butts.,Taunt,"A woman in a blue polo shirt, identified as ""Dina,"" speaks animatedly, gesturing with her right hand. She looks up and to her left, her expression engaged. A man in a blue vest, ""Maurice,"" listens intently with his hands clasped. The dynamic is that of a manager giving instructions to her staff."
S04,E05,179,i--i like it here. that other hospital was snobby.,Complain,"A man in a blue shirt stands with hands on hips, speaking animatedly and gesturing with his right hand. He appears to be explaining something. A pregnant woman in a grey coat listens with a skeptical and unimpressed expression, her arms at her sides."
S04,E02,406,how about we keep this party train rolling,Advise,"The woman in the blue vest holds a microphone and speaks, gesturing with her free hand. The man beside her listens, his expression shifting from neutral to slightly concerned. The woman in the light blue cardigan stands with her hands clasped, listening intently."
S05,E17,468,"you're gorgeous really, for your cohort.",Praise,"A man in a green shirt sits at a table, speaking animatedly with expressive hand gestures. He appears to be passionately explaining something to a woman in a blue patterned shirt, who listens intently, leaning forward. A second woman in a green shirt stands nearby, observing the interaction."
S05,E20,489,the margs are here.,Inform,"A woman in a maroon blazer walks past a seated man, smiling and gesturing with her right hand. The man looks up from his drink, his expression shifting from neutral to slightly surprised as he watches her."
S06,E02,291,"i will see you, uh, in a little bit.",Leave,"A man in a blue vest, identified as 'Jonah,' speaks to a woman in a blue blazer. He gestures with his right hand, pointing towards her while talking. His expression is engaged and animated. The woman listens, her expression neutral."
S05,E07,96,"yeah, that sounds fun. i'm in.",Agree,"The man in the light blue lab coat, wearing glasses, speaks with a confident and slightly playful expression. He gestures with his right hand, then brings both hands together on the counter. He appears to be enthusiastically agreeing to something, his expression shifting from thoughtful to pleased."
S04,E11,450,"i got clipped by a kia on the highway, amy!",Complain,"The main speaker, a man in a blue vest, is highly animated. He shouts with his mouth wide open, gesturing emphatically with his right hand. His expression is one of intense frustration or anger as he addresses the seated group, who listen with serious and concerned faces."
S04,E03,239,"you shoved me, amy! what is wrong with you?",Criticize,"A man in a blue vest, identified as Jonah, speaks with a shocked and indignant expression. His mouth is open, and his eyebrows are raised as he accuses someone named Amy of shoving him."
S05,E08,322,you win it in a raffle or something?,Taunt,"The man in the vest holds a jar, gesturing with his free hand as he speaks. His expression is engaged and explanatory. The woman in the blue blazer listens with her back to the camera, her posture indicating attention. The interaction appears to be a casual, one-on-one conversation."
S05,E16,352,hello?,Greet,"A woman in a blue blazer drives, smiling and talking animatedly. Her passenger, also in blue, listens with her hand near her mouth, appearing engaged in the conversation."
S06,E04,68,can you please switch me anywhere?,Ask for help,"An older man with a grey beard, wearing a blue vest, stands at a checkout counter. He clasps his hands and looks up with wide, pleading eyes, his mouth slightly open as he asks to be switched to another register."
S05,E15,41,yes!,Agree,"The man, Marcus, is the main speaker. He begins with a calm, open-palm gesture, then becomes more assertive, pointing his finger. His facial expression shifts from neutral to focused and slightly stern. He maintains eye contact with the audience, conveying a sense of authority and directness."
S04,E17,284,"thank you for those kind words, jonah.",Thank,"A woman in a sparkly black dress stands and walks toward a man in a grey suit who is holding a microphone. The man, facing her, appears to be listening intently as she approaches. The scene suggests a formal event, possibly a speech or presentation."
S04,E03,119,oh! absolutely. without a doubt.,Agree,"A man in a blue vest, identified as Mateo, speaks with a surprised and emphatic expression. He gestures with his right hand, palm open, as he enthusiastically agrees with the other man, whose back is to the camera."
S06,E02,509,feels pretty bad.,Complain,"A woman in a brown jacket sits, holding a glass and looking concerned as she speaks. She is being addressed by a woman in a blue polo shirt, who stands with her back partially turned. The interaction appears serious, with the seated woman's expression conveying worry or distress."
S04,E16,8,"spring frozen yogurt flavors, check.",Inform,"A woman in a blue blazer stands, holding a clipboard and speaking to three seated colleagues. She gestures with her right hand, raising it near her head as she talks. Her expression is focused and professional, suggesting she is giving instructions or leading a meeting."
S06,E05,515,"oh, wow. yeah--thanks.",Thank,"A man in a blue vest stands behind a counter, holding a large bouquet of white flowers. He looks surprised, with his mouth open and eyes wide. He then smiles and says, ""Oh, wow. Yeah, uh, thanks."""
S04,E11,312,"but i logged 8,000 steps.",Flaunt,"A man in a black sweater, holding a jacket, speaks animatedly to three coworkers. He gestures with his free hand and points to his wrist, likely indicating a fitness tracker. His expression is enthusiastic. The three coworkers, wearing blue vests, listen with neutral to slightly skeptical expressions, standing in a line."
S04,E06,37,i'm just exhausted and sore and hormonal,Complain,"A woman in a plaid shirt and blue vest speaks animatedly to a man in a similar vest. She gestures with her hands, touching her chest and stomach, her expression conveying exasperation and fatigue as she describes feeling ""exhausted and sore."""
S05,E14,248,"oh, thanks.",Thank,"A man in a suit stands behind a bar, holding a black crate. He looks down at it, then up and to his right, gesturing with his left hand as if explaining something. A Black bartender in a white shirt and tie stands beside him, listening."
S06,E09,15,"now, we've noticed some of your masks are getting dingy.",Inform,"A woman in a blue suit stands and speaks, holding a blue folder. She has a serious expression and gestures slightly with her free hand. A man in a white shirt and tie stands beside her, holding a similar folder. He listens intently, his expression neutral and focused on her."
S06,E08,3,that this is made out of polyvinyl chloride,Introduce,"A man in a light blue shirt and patterned tie stands at a checkout counter, holding a small yellow packet. He speaks animatedly, gesturing with his free hand while looking at a woman in a blue vest. The woman listens attentively, her body angled towards him."
S05,E02,112,i even went out and bought a camera phone.,Flaunt,"A woman in a blue polo shirt, identified by her name tag as Sandra, speaks animatedly. Her eyes are wide and her mouth is open, conveying surprise or excitement. She stands facing two men, one of whom is bald and wearing a matching blue vest, listening to her."
S04,E04,73,i'm 'gerry mander'.these are all gerrymander.,Introduce,"A man in a red and blue patterned shirt, identified by a name tag as ""Gerry,"" speaks to a woman in a Mario costume. He gestures with his hands as he talks, looking at her. The woman, with her back mostly to the camera, listens."
S05,E12,86,"hey, glenn, how you holding up?",Care,"A man in a light blue shirt and patterned tie stands with his hands clasped, looking down. He is approached by a younger man in a blue vest who walks towards him with a neutral expression. The interaction appears to be a simple, calm greeting in a store setting."
S05,E17,464,i was definitely not flirting.,Oppose,"A man in a green shirt, identified by his name tag as Jonah, is speaking animatedly to a woman across a table. He uses expressive hand gestures and has a dynamic facial expression, suggesting he is passionately explaining something. The woman listens with her back to the camera."
S04,E03,401,"i'm carol, i'm a jealous psycho stalker who can't take",Taunt,"The woman in the blue polo shirt, Carol, speaks with wide eyes and an open mouth, her expression shifting from surprise to a forced, wide smile. In the background, another woman watches with a stern, unimpressed look. The interaction appears tense, with Carol's exaggerated expression contrasting the other woman's disapproval."
S05,E14,103,"okay, i'm going to hit the little cowboys' room.",Leave,"A man in a purple suit and patterned tie speaks animatedly, gesturing with his hands. He smiles and looks up at the man in the dark suit beside him. The man in the dark suit listens, smiling and nodding in response, indicating a friendly and engaged conversation."
S05,E15,410,"but don't worry, i have a solution.",Comfort,"The man in the light blue shirt speaks animatedly, leaning forward with his hands clasped. His facial expression is earnest and reassuring as he addresses the bald man in the blue vest. The interaction appears to be a calm, conversational exchange between two individuals."
S05,E11,330,"give them a voice, you know?",Advise,"A man in a blue vest, identified as Jonah, speaks animatedly to a woman in a black blazer. He gestures with both hands, palms up, as he talks. His facial expression is earnest and engaged, suggesting he is passionately explaining something to her."
S04,E12,160,"okay, we have no idea how long we're gonna be stuck here, so we need to ration our food.",Inform,"A woman in a blue polo shirt stands with her hands on her hips, speaking with a concerned expression. Next to her, a man in a matching jacket holds a clipboard, listening intently with a serious, focused look."
S06,E04,400,"what, so because i'm manager, i have to help people poop their emotions all over the place?",Complain,"A woman in a blue blazer, identified as Dina, speaks with a frustrated and exasperated expression. She gestures with her hands as she talks, holding a face mask in one. Her body language conveys annoyance and disbelief as she questions a situation."
S05,E10,512,because corporate sucks and everybody always sucks.,Complain,"A woman with a name tag speaks animatedly, gesturing with her right hand. She appears frustrated or exasperated. The man beside her listens intently, smiling slightly and nodding, indicating engagement in the conversation."
S05,E07,134,good.,Praise,"A woman in a pink blazer stands at a store counter, holding a blue folder. She listens intently to a seated woman in a blue blazer, who is speaking and gesturing with her hands. The standing woman's expression is attentive and serious, indicating a focused conversation."
S06,E01,200,"okay, um, some good news.",Inform,"A woman in a blue uniform, identified as ""Annie,"" holds a clipboard and speaks to a man in a blue vest. Her expression is earnest and engaging as she delivers ""good news."" The man listens with his back to the camera."
S06,E03,555,"so starting tomorrow, you will do what i tell you to do",Arrange,"The man in the white shirt, seated behind a desk, speaks authoritatively to the standing man in the vest. He gestures with his right hand as he gives a direct order. The standing man listens with a neutral, attentive expression, his hands clasped in front of him."
S04,E14,148,"glenn, it's--it's going to be okay.",Comfort,"The main speaker, a man in a blue vest, gestures with his right hand towards the older man in the light blue shirt. The older man stands with his hands on his hips, looking away. The second employee, holding a jug, looks on. The interaction appears to be a calm explanation or reassurance."
S04,E13,305,you've never been sarcastic with me before.,Criticize,"A man in a blue vest, identified as Mateo, stands with his hands clasped, looking up and to his left. He appears to be speaking to a woman with long brown hair, who is turned away from the camera. A shirtless man sits in the foreground, looking down."
S04,E01,77,"these are all excellent ideas, thank you.",Praise,"A man in a plaid shirt and blue vest holds a travel mug and speaks to a woman in a blue polo shirt. He appears to be listening and responding to her. A pregnant woman in a matching vest stands nearby, observing the interaction with a concerned expression."
S04,E02,109,you could always return this one for a safer car seat.,Advise,"The woman, wearing a blue vest over a plaid shirt, speaks animatedly to someone off-screen. Her hands gesture expressively as she talks, and her facial expressions shift, conveying a sense of earnest explanation or persuasion."
S05,E20,88,filled up on bread  is gonna go on her gravestone.,Joke,"A woman in a blue polo shirt, holding a clipboard, speaks to a man in a light blue shirt. She gestures with her left hand, her expression serious and focused. The man listens, his back mostly to the camera."
S05,E09,273,what i need from the two of you is less of this,Taunt,"A woman in a blue polo shirt, identified by her name tag as Dina, speaks animatedly from behind a counter. She uses expressive hand gestures, including pointing and touching her temple, to emphasize her words. Her facial expressions are dynamic, conveying a sense of urgency or exasperation as she addresses someone off-screen."
S05,E21,240,really fresh perspective.,Praise,"A woman in a dark suit sits at a table, pointing her finger and speaking with a serious expression. Across from her, a man in a blue suit smiles and listens attentively, nodding slightly. Their interaction suggests a formal discussion where the woman is making a point and the man is actively engaged."
S05,E08,150,hi.,Greet,"A woman in a blue blazer stands with her arms outstretched, palms up, in a questioning or explanatory gesture. She looks at a man in a tan vest who is listening. Her expression is engaged and communicative, suggesting she is actively explaining something to him."
